id_cliente,nombre,ciudad,fecha_alta,mascota,email
C0001,Santiago Suárez,City Bell,2024-02-16,Gato,santiago.suarez.1@hotmail.com
C0002,Franco Álvarez,Gonnet,2026-05-18,Perro,franco.alvarez.2@gmail.com
C0003,Franco Torres,City Bell,2023-11-19,Gato,franco.torres.3@gmail.com
C0004,Agustina Herrera,La Plata,2025-12-26,Gato,agustina.herrera.4@gmail.com
C0005,Bautista Benítez,,2023-11-27,Gato,bautista.benitez.5@yahoo.com.ar
C0006,Martina Martínez,City Bell,2023-04-26,Perro,martina.martinez.6@gmail.com
C0007,Sofía Pérez,Gonnet,2023-02-14,Perro,sofia.perez.7@hotmail.com
C0008,Delfina Sánchez,Los Hornos,2026-02-03,Perro,delfina.sanchez.8@yahoo.com.ar
C0009,Sofía Ruiz,La Plata,2025-03-25,Gato,sofia.ruiz.9@gmail.com
C0010,Mateo Torres,La Plata,2025-10-08,Perro y gato,mateo.torres.10@outlook.com
C0011,Valentina Castro,Gonnet,2025-11-27,Ave,valentina.castro.11@outlook.com
C0012,Bautista Romero,Los Hornos,2026-06-27,Perro,bautista.romero.12@hotmail.com
C0013,Facundo Romero,Villa Elisa,2023-04-05,Otro,facundo.romero.13@outlook.com
C0014,Julieta Silva,Los Hornos,2023-03-20,Gato,julieta.silva.14@yahoo.com.ar
C0015,Agustina Álvarez,City Bell,2026-02-20,Perro,agustina.alvarez.15@gmail.com
C0016,Candela González,City Bell,2025-10-26,Perro,candela.gonzalez.16@outlook.com
C0017,Sofía Pérez,City Bell,2024-01-16,Perro y gato,sofia.perez.17@outlook.com
C0018,Nicolás Suárez,Los Hornos,2024-09-19,Perro y gato,nicolas.suarez.18@gmail.com
C0019,Candela Ruiz,Villa Elisa,2024-07-26,Perro,candela.ruiz.19@gmail.com
C0020,Facundo Pérez,Gonnet,2024-02-20,Gato,facundo.perez.20@yahoo.com.ar
C0021,Franco Rossi,Ringuelet,2023-01-03,Ave,franco.rossi.21@yahoo.com.ar
C0022,Santiago Rossi,Villa Elisa,2023-11-22,Otro,santiago.rossi.22@outlook.com
C0023,Delfina Romero,Los Hornos,2026-02-24,Otro,delfina.romero.23@hotmail.com
C0024,Bruno Silva,La Plata,2023-12-23,Perro y gato,bruno.silva.24@outlook.com
C0025,Julieta Suárez,Gonnet,2025-09-28,Perro y gato,julieta.suarez.25@gmail.com
C0026,Franco Rodríguez,La Plata,2025-01-19,Gato,franco.rodriguez.26@yahoo.com.ar
C0027,Julieta Gómez,La Plata,2026-07-18,Gato,julieta.gomez.27@hotmail.com
C0028,Bruno Benítez,La Plata,2023-01-10,Perro y gato,bruno.benitez.28@outlook.com
C0029,Facundo Díaz,Tolosa,2024-12-28,Ave,facundo.diaz.29@hotmail.com
C0030,Agustina Rossi,Ensenada,2023-01-03,Perro,agustina.rossi.30@yahoo.com.ar
C0031,Bautista Silva,Berisso,2026-05-15,Ave,bautista.silva.31@outlook.com
C0032,Bautista Benítez,,2023-10-03,Perro,bautista.benitez.32@gmail.com
C0033,Martina Rodríguez,Ringuelet,2023-12-24,Perro,martina.rodriguez.33@outlook.com
C0034,Bautista Silva,La Plata,2026-06-07,Perro y gato,bautista.silva.34@yahoo.com.ar
C0035,Santiago Rossi,City Bell,2026-05-19,Perro,santiago.rossi.35@gmail.com
C0036,Candela Álvarez,City Bell,2024-10-27,Gato,candela.alvarez.36@outlook.com
C0037,Joaquín Ruiz,Los Hornos,2025-01-11,Perro y gato,joaquin.ruiz.37@yahoo.com.ar
C0038,Valentina Rossi,Los Hornos,2025-12-03,Otro,valentina.rossi.38@yahoo.com.ar
C0039,Valentina Torres,La Plata,2024-09-09,Perro y gato,valentina.torres.39@yahoo.com.ar
C0040,Malena Gómez,Los Hornos,2025-02-13,Perro,malena.gomez.40@yahoo.com.ar
C0041,Delfina Rossi,Los Hornos,2025-07-14,Perro y gato,delfina.rossi.41@outlook.com
C0042,Benjamín Gómez,Ensenada,2023-07-18,Gato,benjamin.gomez.42@gmail.com
C0043,Joaquín Romero,Los Hornos,2023-02-20,Perro,joaquin.romero.43@outlook.com
C0044,Agustina González,Ensenada,2023-09-27,Perro,agustina.gonzalez.44@gmail.com
C0045,Malena Díaz,City Bell,2024-05-07,Perro y gato,malena.diaz.45@hotmail.com
C0046,Tomás Herrera,Los Hornos,2024-05-18,Perro y gato,tomas.herrera.46@hotmail.com
C0047,Joaquín Pérez,City Bell,2024-12-10,Otro,joaquin.perez.47@yahoo.com.ar
C0048,Camila Herrera,Villa Elisa,2025-11-10,Perro y gato,camila.herrera.48@gmail.com
C0049,Tomás Silva,Villa Elisa,2025-07-03,Ave,tomas.silva.49@hotmail.com
C0050,Delfina Martínez,La Plata,2024-05-01,Gato,delfina.martinez.50@yahoo.com.ar
C0051,Facundo Suárez,Berisso,2023-01-13,Perro,facundo.suarez.51@gmail.com
C0052,Nicolás Torres,La Plata,2024-04-30,Otro,nicolas.torres.52@gmail.com
C0053,Joaquín Castro,Tolosa,2025-06-13,Ave,joaquin.castro.53gmail.com
C0054,Valentina Ruiz,La Plata,2026-02-12,Otro,valentina.ruiz.54@outlook.com
C0055,Mateo Ruiz,City Bell,2025-03-31,Gato,mateo.ruiz.55@gmail.com
C0056,Julieta Sánchez,Los Hornos,2023-11-15,Gato,julieta.sanchez.56@yahoo.com.ar
C0057,Tomás Álvarez,City Bell,2023-12-13,Perro,tomas.alvarez.57@yahoo.com.ar
C0058,Bruno Castro,Gonnet,2025-10-28,Gato,bruno.castro.58@hotmail.com
C0059,Bruno Martínez,Los Hornos,2024-08-11,Gato,bruno.martinez.59@gmail.com
C0060,Julieta Suárez,Gonnet,2026-05-28,Otro,julieta.suarez.60@yahoo.com.ar
C0061,Bautista Acosta,La Plata,2026-03-27,Gato,bautista.acosta.61@gmail.com
C0062,Sofía Castro,Ensenada,2024-10-19,Otro,sofia.castro.62@outlook.com
C0063,Julieta Castro,Los Hornos,2023-06-25,Ave,julieta.castro.63@outlook.com
C0064,Santiago Sánchez,City Bell,2026-05-30,Gato,santiago.sanchez.64@hotmail.com
C0065,Delfina Gómez,Ringuelet,2024-11-27,Perro y gato,delfina.gomez.65@hotmail.com
C0066,Malena Castro,City Bell,2025-07-21,Perro,malena.castro.66@hotmail.com
C0067,Delfina Rodríguez,Berisso,2026-02-19,Perro y gato,delfina.rodriguez.67@hotmail.com
C0068,Joaquín Torres,Los Hornos,2025-07-01,Gato,joaquin.torres.68@gmail.com
