id_linea_venta,id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,descuento,sucursal,canal,medio_pago,fecha_original,fecha_invalida,fecha_fuera_rango,error_cantidad,cantidad_atipica,error_precio,error_descuento,requiere_revision,motivo_revision,producto_existe,cliente_informado,cliente_existe,estado_cliente,id_cliente_modelo,producto,categoria,subcategoria,marca,costo,precio_lista,proveedor,nombre,ciudad,fecha_alta,mascota,email
LV000001,V000001,2025-03-17,C0158,P0167,1,55310,0.2,Ecommerce,Online,Transferencia,17/03/2025,False,False,False,False,False,False,False,,True,True,True,Registrado,C0158,Royal Canin Juguete Gato M,Accesorios,Gato,Royal Canin,58495.0,56700.0,Accesorios Huella,Valentina Acosta,La Plata,2024-11-22,Perro,valentina.acosta.158@yahoo.com.ar
LV000002,V000002,2026-07-04,C0706,P0022,1,6310,0.0,Centro,Local,Transferencia,04/07/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0706,"König Cachorro Gato 7,5 kg",Alimentos,Gato,König,4500.0,6500.0,NutriPet Sur,Candela Rodríguez,Ensenada,2024-06-13,Ave,candela.rodriguez.706@yahoo.com.ar
LV000003,V000002,2026-07-04,C0706,P0035,1,8930,0.0,Centro,Local,Transferencia,04/07/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0706,Catit Piel sensible Perro 1 kg,Alimentos,Perro,Catit,4800.0,8700.0,Mayorista Animalia,Candela Rodríguez,Ensenada,2024-06-13,Ave,candela.rodriguez.706@yahoo.com.ar
LV000004,V000003,2025-03-03,,P0003,1,24130,0.0,Ecommerce,Online,Transferencia,03/03/2025,False,False,False,False,False,False,False,,True,False,False,Invitado,C_INVITADO,Excellent Premium Perro 10 kg,Alimentos,Perro,Excellent,13800.0,25300.0,Mayorista Animalia,Cliente invitado,,,,
LV000005,V000003,2025-03-03,,P0118,1,11040,0.05,Ecommerce,Online,Transferencia,03/03/2025,False,False,False,False,False,False,False,,True,False,False,Invitado,C_INVITADO,Dogit Cepillo dental Perro 2 kg,Higiene,Perro,Dogit,8400.0,11300.0,NutriPet Sur,Cliente invitado,,,,
LV000006,V000004,2026-02-18,C0744,P0011,2,31880,0.0,Ecommerce,Online,Crédito,18/02/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0744,Pedigree Piel sensible Perro 3 kg,Alimentos,Perro,Pedigree,24100.0,33800.0,Mayorista Animalia,Benjamín Romero,City Bell,2025-12-04,Perro y gato,benjamin.romero.744@hotmail.com
LV000007,V000004,2026-02-18,C0744,P0090,1,9500,0.0,Ecommerce,Online,Débito,18/02/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0744,Catit Tiras Gato 500 g,Snacks,Gato,Catit,5500.0,9600.0,Pet Supply BA,Benjamín Romero,City Bell,2025-12-04,Perro y gato,benjamin.romero.744@hotmail.com
LV000008,V000004,2026-02-18,C0744,P0014,2,46550,0.15,Ecommerce,Online,Mercado Pago,18/02/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0744,Balanced Piel sensible Gato 15 kg,Alimentos,Gato,Balanced,32000.0,46800.0,NutriPet Sur,Benjamín Romero,City Bell,2025-12-04,Perro y gato,benjamin.romero.744@hotmail.com
LV000009,V000004,2026-02-18,C0744,P0120,2,13780,0.0,Ecommerce,Online,Mercado Pago,18/02/2026,False,False,False,False,False,False,False,,True,True,True,Registrado,C0744,Kongo Shampoo General 250 ml,Higiene,General,Kongo,,14500.0,Distribuidora Patitas,Benjamín Romero,City Bell,2025-12-04,Perro y gato,benjamin.romero.744@hotmail.com
LV000010,V000005,2026-03-04,,P0197,1,7270,0.0,Ecommerce,Online,Mercado Pago,04/03/2026,False,False,False,False,False,False,False,,True,False,False,Invitado,C_INVITADO,Royal Canin Pipeta Gato Grande,Salud,Gato,Royal Canin,5600.0,7300.0,EcoPet Distribuciones,Cliente invitado,,,,
